"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 09 10:27:44 UTC 2026","Thu Apr 09 10:27:46 UTC 2026","1318","","org.example.tests.CartTest","","org.example.tests.CartTest","continueShoppingNavigatesBackToProductsPage","continueShoppingNavigatesBackToProductsPage()","Continue shopping navigates back to products page"
"passed","Thu Apr 09 10:28:14 UTC 2026","Thu Apr 09 10:28:15 UTC 2026","1686","","org.example.tests.CheckoutTest","","org.example.tests.CheckoutTest","emptyRequiredFieldShowsValidationError","emptyRequiredFieldShowsValidationError(ShippingInfo, String) shipping=ShippingInfo[firstName=, lastName=Doe, postalCode=12345] -> error contains 'First Name is required'","Each empty required field shows its specific validation error"
"passed","Thu Apr 09 10:27:21 UTC 2026","Thu Apr 09 10:27:25 UTC 2026","3574","","org.example.tests.CartTest","","org.example.tests.CartTest","removedItemNoLongerInCartList","removedItemNoLongerInCartList()","Removed item no longer in cart list"
"passed","Thu Apr 09 10:28:09 UTC 2026","Thu Apr 09 10:28:10 UTC 2026","1321","","org.example.tests.CheckoutTest","","org.example.tests.CheckoutTest","checkoutFormRequestsShippingInfo","checkoutFormRequestsShippingInfo()","Checkout form requests first name, last name, and postal code fields"
"passed","Thu Apr 09 10:28:44 UTC 2026","Thu Apr 09 10:28:46 UTC 2026","1319","","org.example.tests.ProductsTest","","org.example.tests.ProductsTest","addToCartFromDetailPageShowsBadgeCountOne","addToCartFromDetailPageShowsBadgeCountOne()","Adding a product to cart from detail page shows badge count of one"
"passed","Thu Apr 09 10:28:00 UTC 2026","Thu Apr 09 10:28:01 UTC 2026","1028","","org.example.tests.LoginTest","","org.example.tests.LoginTest","whitespaceOnlyUsernameIsRejected","whitespaceOnlyUsernameIsRejected(String) username=' '","Whitespace-only username is rejected with an error"
"passed","Thu Apr 09 10:27:50 UTC 2026","Thu Apr 09 10:27:51 UTC 2026","1494","","org.example.tests.LoginTest","","org.example.tests.LoginTest","validLoginNavigatesToProductsPage","validLoginNavigatesToProductsPage()","Valid credentials navigate to the products page"
"failed","Thu Apr 09 10:28:30 UTC 2026","Thu Apr 09 10:28:42 UTC 2026","11718","","org.example.tests.ProductsTest","","org.example.tests.ProductsTest","cartBadgeCountMatchesItemsAdded","cartBadgeCountMatchesItemsAdded(int) add 6 item(s) -> badge=6","Cart badge count matches items added (boundary: 1 and 6)"
"failed","Thu Apr 09 10:27:32 UTC 2026","Thu Apr 09 10:27:44 UTC 2026","11855","","org.example.tests.CartTest","","org.example.tests.CartTest","cartItemCountMatchesNumberOfProductsAdded","cartItemCountMatchesNumberOfProductsAdded(int) add 6 item(s) -> cart has 6 item(s)","Cart item count matches the number of products added (boundary: 1, 2, 3, 6)"
"passed","Thu Apr 09 10:28:02 UTC 2026","Thu Apr 09 10:28:03 UTC 2026","1019","","org.example.tests.LoginTest","","org.example.tests.LoginTest","whitespaceOnlyUsernameIsRejected","whitespaceOnlyUsernameIsRejected(String) username='	'","Whitespace-only username is rejected with an error"
"passed","Thu Apr 09 10:27:55 UTC 2026","Thu Apr 09 10:27:56 UTC 2026","1407","","org.example.tests.LoginTest","","org.example.tests.LoginTest","specialCharacterUsernamesAreRejectedGracefully","specialCharacterUsernamesAreRejectedGracefully(String) username='aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa'","Special-character usernames are rejected gracefully without crashing"
"passed","Thu Apr 09 10:28:05 UTC 2026","Thu Apr 09 10:28:06 UTC 2026","1022","","org.example.tests.LoginTest","","org.example.tests.LoginTest","invalidCredentialCombinationsShowMismatchError","invalidCredentialCombinationsShowMismatchError(String, String, String) user='standard_user' pass='wrong_pass' -> error contains 'Username and password do not match'","Invalid credential combinations show the mismatch error"
"passed","Thu Apr 09 10:27:51 UTC 2026","Thu Apr 09 10:27:53 UTC 2026","1216","","org.example.tests.LoginTest","","org.example.tests.LoginTest","specialCharacterUsernamesAreRejectedGracefully","specialCharacterUsernamesAreRejectedGracefully(String) username='' OR '1'='1'","Special-character usernames are rejected gracefully without crashing"
"passed","Thu Apr 09 10:28:06 UTC 2026","Thu Apr 09 10:28:07 UTC 2026","1018","","org.example.tests.LoginTest","","org.example.tests.LoginTest","lockedOutUserShowsError","lockedOutUserShowsError()","Locked out user sees an appropriate error message"
"passed","Thu Apr 09 10:28:03 UTC 2026","Thu Apr 09 10:28:04 UTC 2026","1023","","org.example.tests.LoginTest","","org.example.tests.LoginTest","invalidCredentialCombinationsShowMismatchError","invalidCredentialCombinationsShowMismatchError(String, String, String) user='bad_user' pass='bad_pass' -> error contains 'Username and password do not match'","Invalid credential combinations show the mismatch error"
"passed","Thu Apr 09 10:28:43 UTC 2026","Thu Apr 09 10:28:44 UTC 2026","1115","","org.example.tests.ProductsTest","","org.example.tests.ProductsTest","nameSortOptionsProduceCorrectOrder","nameSortOptionsProduceCorrectOrder(String, boolean) sort='za' -> ascending=false","Name sort options produce correct alphabetical ordering"
"passed","Thu Apr 09 10:27:56 UTC 2026","Thu Apr 09 10:27:57 UTC 2026","1025","","org.example.tests.LoginTest","","org.example.tests.LoginTest","dismissingErrorMessageHidesIt","dismissingErrorMessageHidesIt()","Dismissing the error message hides it"
"passed","Thu Apr 09 10:28:07 UTC 2026","Thu Apr 09 10:28:09 UTC 2026","1769","","org.example.tests.CheckoutTest","","org.example.tests.CheckoutTest","completingOrderShowsConfirmationMessage","completingOrderShowsConfirmationMessage()","Completing order shows confirmation message"
"passed","Thu Apr 09 10:27:46 UTC 2026","Thu Apr 09 10:27:47 UTC 2026","1332","","org.example.tests.CartTest","","org.example.tests.CartTest","singleAddedProductAppearsInCart","singleAddedProductAppearsInCart()","Single added product appears in cart"
"passed","Thu Apr 09 10:28:42 UTC 2026","Thu Apr 09 10:28:43 UTC 2026","1088","","org.example.tests.ProductsTest","","org.example.tests.ProductsTest","nameSortOptionsProduceCorrectOrder","nameSortOptionsProduceCorrectOrder(String, boolean) sort='az' -> ascending=true","Name sort options produce correct alphabetical ordering"
"passed","Thu Apr 09 10:27:59 UTC 2026","Thu Apr 09 10:28:00 UTC 2026","1033","","org.example.tests.LoginTest","","org.example.tests.LoginTest","emptyUsernameShowsError","emptyUsernameShowsError()","Submitting with empty username shows a validation error"
"passed","Thu Apr 09 10:27:57 UTC 2026","Thu Apr 09 10:27:59 UTC 2026","1504","","org.example.tests.LoginTest","","org.example.tests.LoginTest","logoutViaBurgerMenuReturnsToLoginPage","logoutViaBurgerMenuReturnsToLoginPage()","User can log out via burger menu and returns to login page"
"passed","Thu Apr 09 10:27:47 UTC 2026","Thu Apr 09 10:27:49 UTC 2026","1694","","org.example.tests.CartTest","","org.example.tests.CartTest","multipleAddedProductsAllAppearInCart","multipleAddedProductsAllAppearInCart()","Multiple added products all appear in cart"
"passed","Thu Apr 09 10:27:25 UTC 2026","Thu Apr 09 10:27:27 UTC 2026","1996","","org.example.tests.CartTest","","org.example.tests.CartTest","removingMiddleItemLeavesOthersIntact","removingMiddleItemLeavesOthersIntact()","Removing a middle item from a multi-item cart leaves the others intact"
"passed","Thu Apr 09 10:27:54 UTC 2026","Thu Apr 09 10:27:55 UTC 2026","1202","","org.example.tests.LoginTest","","org.example.tests.LoginTest","specialCharacterUsernamesAreRejectedGracefully","specialCharacterUsernamesAreRejectedGracefully(String) username='admin'--'","Special-character usernames are rejected gracefully without crashing"
"passed","Thu Apr 09 10:28:22 UTC 2026","Thu Apr 09 10:28:23 UTC 2026","1111","","org.example.tests.ProductsTest","","org.example.tests.ProductsTest","productsPageDisplaysAtLeastSixProducts","productsPageDisplaysAtLeastSixProducts()","Products page displays at least six products"
"passed","Thu Apr 09 10:27:53 UTC 2026","Thu Apr 09 10:27:54 UTC 2026","1209","","org.example.tests.LoginTest","","org.example.tests.LoginTest","specialCharacterUsernamesAreRejectedGracefully","specialCharacterUsernamesAreRejectedGracefully(String) username='<script>alert(1)</script>'","Special-character usernames are rejected gracefully without crashing"
"passed","Thu Apr 09 10:28:27 UTC 2026","Thu Apr 09 10:28:28 UTC 2026","1139","","org.example.tests.ProductsTest","","org.example.tests.ProductsTest","selectingProductNavigatesToDetailPageWithMatchingName","selectingProductNavigatesToDetailPageWithMatchingName()","Selecting a product navigates to the detail page with a matching name"
"passed","Thu Apr 09 10:28:28 UTC 2026","Thu Apr 09 10:28:29 UTC 2026","1176","","org.example.tests.ProductsTest","","org.example.tests.ProductsTest","removingItemFromProductsPageClearsBadge","removingItemFromProductsPageClearsBadge()","Removing an item from products page clears badge when cart becomes empty"
"passed","Thu Apr 09 10:27:27 UTC 2026","Thu Apr 09 10:27:28 UTC 2026","1440","","org.example.tests.CartTest","","org.example.tests.CartTest","removingAllItemsHidesCartBadge","removingAllItemsHidesCartBadge()","Removing all items hides cart badge"
"passed","Thu Apr 09 10:28:25 UTC 2026","Thu Apr 09 10:28:26 UTC 2026","1097","","org.example.tests.ProductsTest","","org.example.tests.ProductsTest","priceSortOptionsProduceCorrectOrder","priceSortOptionsProduceCorrectOrder(String, boolean) sort='lohi' -> ascending=true","Price sort options produce correct numeric ordering"
"passed","Thu Apr 09 10:27:28 UTC 2026","Thu Apr 09 10:27:30 UTC 2026","1311","","org.example.tests.CartTest","","org.example.tests.CartTest","cartItemCountMatchesNumberOfProductsAdded","cartItemCountMatchesNumberOfProductsAdded(int) add 1 item(s) -> cart has 1 item(s)","Cart item count matches the number of products added (boundary: 1, 2, 3, 6)"
"passed","Thu Apr 09 10:28:17 UTC 2026","Thu Apr 09 10:28:19 UTC 2026","1639","","org.example.tests.CheckoutTest","","org.example.tests.CheckoutTest","emptyRequiredFieldShowsValidationError","emptyRequiredFieldShowsValidationError(ShippingInfo, String) shipping=ShippingInfo[firstName=John, lastName=Doe, postalCode=] -> error contains 'Postal Code is required'","Each empty required field shows its specific validation error"
